date,day,home_team,home_team_,away_team,away_team_,home_score,away_score,tournament,city,country,year,year_n,month,home_result,away_result,result,total_goals,home_result_desc,away_result_desc,serial,decade,home_group,away_group,home_random,away_random
10/02/1957,10,Sudan,Sudan,Egypt,Egypt,1,2,African Cup of Nations,Khartoum,Sudan,1957,7,2,-1,1,1,3,loser,winner,1,1,1,1,0.48106548,0.737720969
17/02/1957,17,Sudan,Sudan,Egypt,Egypt,3,4,Friendly,Khartoum,Sudan,1957,7,2,-1,1,1,7,loser,winner,2,1,1,1,0.90727885,0.152371585
08/03/1957,8,Sudan,Sudan,Syria,Syria,1,0,FIFA World Cup qualification,Khartoum,Sudan,1957,7,3,1,-1,1,1,winner,loser,3,1,1,0,0.41440975,0.229913097
24/05/1957,24,Syria,Syria,Sudan,Sudan,1,1,FIFA World Cup qualification,Damascus,Syria,1957,7,5,0,0,0,2,draw,draw,4,1,0,1,0.37185405,0.617235233
02/06/1957,2,Tunisia,Tunisia,Libya,Libya,4,2,Friendly,Tunis,Tunisia,1957,7,6,2,-2,2,6,winner,loser,5,1,1,0,0.09837726,0.156429602
03/04/1958,3,Morocco,Morocco,Libya,Libya,3,1,Friendly,Casablanca,Morocco,1958,8,4,2,-2,2,4,winner,loser,6,1,0,0,0.17301631,0.339381324
09/05/1958,9,Tunisia,Tunisia,Libya,Libya,4,1,Friendly,Tunis,Tunisia,1958,8,5,3,-3,3,5,winner,loser,7,1,1,0,0.75866195,0.97993179
29/05/1959,29,Egypt,Egypt,Sudan,Sudan,2,1,African Cup of Nations,Cairo,United Arab Republic,1959,9,5,1,-1,1,3,winner,loser,8,1,1,1,0.74888634,0.542249327
05/06/1960,5,Tunisia,Tunisia,Iraq,Iraq,2,1,Friendly,Tunis,Tunisia,1960,0,6,1,-1,1,3,winner,loser,9,1,1,0,0.07806237,0.475085667
30/10/1960,30,Morocco,Morocco,Tunisia,Tunisia,2,1,FIFA World Cup qualification,Casablanca,Morocco,1960,0,10,1,-1,1,3,winner,loser,10,1,0,1,0.59604626,0.260560315
13/11/1960,13,Tunisia,Tunisia,Morocco,Morocco,2,1,FIFA World Cup qualification,Tunis,Tunisia,1960,0,11,1,-1,1,3,winner,loser,11,1,1,0,0.27777704,0.789354838
23/12/1960,23,Iraq,Iraq,Tunisia,Tunisia,3,2,Friendly,Baghdad,Iraq,1960,0,12,1,-1,1,5,winner,loser,12,1,0,1,0.53521919,0.080267883
22/02/1961,22,Morocco,Morocco,Tunisia,Tunisia,1,1,FIFA World Cup qualification,Palermo,Italy,1961,1,2,0,0,0,2,draw,draw,13,2,0,1,0.71359145,0.768873488
11/03/1962,11,Libya,Libya,Tunisia,Tunisia,6,3,Friendly,Tripoli,Libya,1962,2,3,3,-3,3,9,winner,loser,14,2,0,1,0.2248067,0.40670467
03/06/1962,3,Tunisia,Tunisia,Libya,Libya,2,2,Friendly,Tunis,Tunisia,1962,2,6,0,0,0,4,draw,draw,15,2,1,0,0.87418118,0.105958277
06/01/1963,6,Kuwait,Kuwait,Jordan,Jordan,2,1,Friendly,Kuwait City,Kuwait,1963,3,1,1,-1,1,3,winner,loser,16,2,0,1,0.0881714,0.39993026
03/03/1963,3,Tunisia,Tunisia,Kuwait,Kuwait,2,1,Friendly,Tunis,Tunisia,1963,3,3,1,-1,1,3,winner,loser,17,2,1,0,0.04467656,0.84214577
31/03/1963,31,Lebanon,Lebanon,Kuwait,Kuwait,6,0,UAFA Cup,Beirut,Lebanon,1963,3,3,6,-6,6,6,winner,loser,18,2,1,0,0.28403425,0.338840098
02/04/1963,2,Syria,Syria,Tunisia,Tunisia,0,1,UAFA Cup,Beirut,Lebanon,1963,3,4,-1,1,1,1,loser,winner,19,2,0,1,0.23747755,0.31524677
04/04/1963,4,Jordan,Jordan,Tunisia,Tunisia,0,4,UAFA Cup,Beirut,Lebanon,1963,3,4,-4,4,4,4,loser,winner,20,2,1,1,0.25259274,0.249420375
06/04/1963,6,Kuwait,Kuwait,Tunisia,Tunisia,1,5,UAFA Cup,Beirut,Lebanon,1963,3,4,-4,4,4,6,loser,winner,21,2,0,1,0.18556777,0.955191304
06/04/1963,6,Lebanon,Lebanon,Jordan,Jordan,5,0,UAFA Cup,Beirut,Lebanon,1963,3,4,5,-5,5,5,winner,loser,22,2,1,1,0.4308479,0.047353799
07/04/1963,7,Kuwait,Kuwait,Syria,Syria,0,4,UAFA Cup,Beirut,Lebanon,1963,3,4,-4,4,4,4,loser,winner,23,2,0,0,0.86717819,0.068053974
07/04/1963,7,Lebanon,Lebanon,Tunisia,Tunisia,0,1,UAFA Cup,Beirut,Lebanon,1963,3,4,-1,1,1,1,loser,winner,24,2,1,1,0.00086479,0.115828651
09/06/1963,9,Tunisia,Tunisia,Lebanon,Lebanon,2,0,Friendly,Tunis,Tunisia,1963,3,6,2,-2,2,2,winner,loser,25,2,1,1,0.9324927,0.222047373
02/07/1963,2,Morocco,Morocco,Tunisia,Tunisia,4,2,African Cup of Nations qualification,Casablanca,Morocco,1963,3,7,2,-2,2,6,winner,loser,26,2,0,1,0.03950452,0.944538034
07/07/1963,7,Algeria,Algeria,Egypt,Egypt,2,2,Friendly,Oran,Algeria,1963,3,7,0,0,0,4,draw,draw,27,2,1,1,0.46037626,0.082661538
30/03/1970,30,Bahrain,Bahrain,Saudi Arabia,Saudi_Arabia,0,0,Gulf Cup,Isa Town,Bahrain,1970,0,3,0,0,0,0,draw,draw,98,3,0,0,0.86416832,0.757488119
26/11/1963,26,Egypt,Egypt,Sudan,Sudan,2,2,African Cup of Nations,Kumasi,Ghana,1963,3,11,0,0,0,4,draw,draw,29,2,1,1,0.62554246,0.123229948
15/12/1963,15,Tunisia,Tunisia,Algeria,Algeria,0,0,Friendly,Tunis,Tunisia,1963,3,12,0,0,0,0,draw,draw,30,2,1,1,0.01420705,0.032041645
08/03/1964,8,Libya,Libya,Lebanon,Lebanon,0,1,Friendly,Tripoli,Libya,1964,4,3,-1,1,1,1,loser,winner,31,2,0,1,0.8923957,0.654478929
20/03/1964,20,Egypt,Egypt,Algeria,Algeria,1,0,Friendly,Cairo,Egypt,1964,4,3,1,-1,1,1,winner,loser,32,2,1,1,0.65234193,0.032167917
13/11/1964,13,Jordan,Jordan,Lebanon,Lebanon,0,0,UAFA Cup,Kuwait City,Kuwait,1964,4,11,0,0,0,0,draw,draw,33,2,1,1,0.96464055,0.551133338
13/11/1964,13,Kuwait,Kuwait,Iraq,Iraq,0,1,UAFA Cup,Kuwait City,Kuwait,1964,4,11,-1,1,1,1,loser,winner,34,2,0,0,0.24347977,0.661438353
15/11/1964,15,Kuwait,Kuwait,Jordan,Jordan,2,0,UAFA Cup,Kuwait City,Kuwait,1964,4,11,2,-2,2,2,winner,loser,35,2,0,1,0.89598285,0.050280788
15/11/1964,15,Libya,Libya,Lebanon,Lebanon,2,1,UAFA Cup,Kuwait City,Kuwait,1964,4,11,1,-1,1,3,winner,loser,36,2,0,1,0.40308067,0.335517987
16/11/1964,16,Kuwait,Kuwait,Libya,Libya,1,1,UAFA Cup,Kuwait City,Kuwait,1964,4,11,0,0,0,2,draw,draw,37,2,0,0,0.03789931,0.684556607
17/11/1964,17,Iraq,Iraq,Lebanon,Lebanon,1,0,UAFA Cup,Kuwait City,Kuwait,1964,4,11,1,-1,1,1,winner,loser,38,2,0,1,0.31881424,0.146264568
17/11/1964,17,Jordan,Jordan,Libya,Libya,2,5,UAFA Cup,Kuwait City,Kuwait,1964,4,11,-3,3,3,7,loser,winner,39,2,1,0,0.26640486,0.629691526
19/11/1964,19,Kuwait,Kuwait,Lebanon,Lebanon,2,3,UAFA Cup,Kuwait City,Kuwait,1964,4,11,-1,1,1,5,loser,winner,40,2,0,1,0.01343218,0.403666847
28/02/1965,28,Tunisia,Tunisia,Morocco,Morocco,0,0,Friendly,Tunis,Tunisia,1965,5,2,0,0,0,0,draw,draw,41,2,1,0,0.35577571,0.137977452
12/03/1965,12,Kuwait,Kuwait,Morocco,Morocco,0,2,Friendly,Tripoli,Libya,1965,5,3,-2,2,2,2,loser,winner,42,2,0,0,0.87498141,0.220071884
14/03/1965,14,Libya,Libya,Kuwait,Kuwait,4,1,Friendly,Tripoli,Libya,1965,5,3,3,-3,3,5,winner,loser,43,2,0,0,0.64348969,0.982232691
19/03/1965,19,Libya,Libya,Morocco,Morocco,1,0,Friendly,Tripoli,Libya,1965,5,3,1,-1,1,1,winner,loser,44,2,0,0,0.25601708,0.772501122
02/05/1965,2,Morocco,Morocco,Tunisia,Tunisia,0,1,Friendly,Casablanca,Morocco,1965,5,5,-1,1,1,1,loser,winner,45,2,0,1,0.01358908,0.27179077
30/07/1965,30,Jordan,Jordan,Iraq,Iraq,0,0,Friendly,Amman,Jordan,1965,5,7,0,0,0,0,draw,draw,46,2,1,0,0.24759707,0.801612826
31/10/1965,31,Algeria,Algeria,Morocco,Morocco,0,0,Friendly,Algiers,Algeria,1965,5,10,0,0,0,0,draw,draw,47,2,1,0,0.61419243,0.115292948
06/03/1966,6,Morocco,Morocco,Algeria,Algeria,1,0,Friendly,Casablanca,Morocco,1966,6,3,1,-1,1,1,winner,loser,48,2,0,1,0.92486413,0.780468108
11/03/1966,11,Libya,Libya,Morocco,Morocco,4,0,Friendly,Tripoli,Libya,1966,6,3,4,-4,4,4,winner,loser,49,2,0,0,0.37926997,0.582542783
14/03/1966,14,Libya,Libya,Iraq,Iraq,0,2,Friendly,Tripoli,Libya,1966,6,3,-2,2,2,2,loser,winner,50,2,0,0,0.42594083,0.671616716
18/03/1966,18,Iraq,Iraq,Morocco,Morocco,0,1,Friendly,Tripoli,Libya,1966,6,3,-1,1,1,1,loser,winner,51,2,0,0,0.33845419,0.594813128
19/03/1966,19,Iraq,Iraq,Morocco,Morocco,1,2,Friendly,Tripoli,Libya,1966,6,3,-1,1,1,3,loser,winner,52,2,0,0,0.08044283,0.392636857
01/04/1966,1,Bahrain,Bahrain,Kuwait,Kuwait,4,4,UAFA Cup,Baghdad,Iraq,1966,6,4,0,0,0,8,draw,draw,53,2,0,0,0.46832572,0.990053274
01/04/1966,1,Iraq,Iraq,Lebanon,Lebanon,0,0,UAFA Cup,Baghdad,Iraq,1966,6,4,0,0,0,0,draw,draw,54,2,0,1,0.64308129,0.869468592
