serial,date,year,year_n,month,team,team_,status,home_score,away_score,home_result,away_result,result_desc,tournament,city,country,result,size,decade,random,home_team,home_team_,away_team,away_team_
1,10/02/1957,1957,7,2,Sudan,Sudan,home_team,1,2,-1,1,loser,African Cup of Nations,Khartoum,Sudan,-1,1,1,0.481065478,Sudan,Sudan,Egypt,Egypt
1,10/02/1957,1957,7,2,Egypt,Egypt,away_team,1,2,-1,1,winner,African Cup of Nations,Khartoum,Sudan,1,1,1,0.737720969,Sudan,Sudan,Egypt,Egypt
2,17/02/1957,1957,7,2,Sudan,Sudan,home_team,3,4,-1,1,loser,Friendly,Khartoum,Sudan,-1,1,1,0.907278854,Sudan,Sudan,Egypt,Egypt
2,17/02/1957,1957,7,2,Egypt,Egypt,away_team,3,4,-1,1,winner,Friendly,Khartoum,Sudan,1,1,1,0.152371585,Sudan,Sudan,Egypt,Egypt
3,08/03/1957,1957,7,3,Sudan,Sudan,home_team,1,0,1,-1,winner,FIFA World Cup qualification,Khartoum,Sudan,1,1,1,0.414409753,Sudan,Sudan,Syria,Syria
3,08/03/1957,1957,7,3,Syria,Syria,away_team,1,0,1,-1,loser,FIFA World Cup qualification,Khartoum,Sudan,-1,1,1,0.229913097,Sudan,Sudan,Syria,Syria
4,24/05/1957,1957,7,5,Syria,Syria,home_team,1,1,0,0,draw,FIFA World Cup qualification,Damascus,Syria,0,0,1,0.371854046,Syria,Syria,Sudan,Sudan
4,24/05/1957,1957,7,5,Sudan,Sudan,away_team,1,1,0,0,draw,FIFA World Cup qualification,Damascus,Syria,0,0,1,0.617235233,Syria,Syria,Sudan,Sudan
5,02/06/1957,1957,7,6,Tunisia,Tunisia,home_team,4,2,2,-2,winner,Friendly,Tunis,Tunisia,2,2,1,0.098377258,Tunisia,Tunisia,Libya,Libya
5,02/06/1957,1957,7,6,Libya,Libya,away_team,4,2,2,-2,loser,Friendly,Tunis,Tunisia,-2,2,1,0.156429602,Tunisia,Tunisia,Libya,Libya
6,03/04/1958,1958,8,4,Morocco,Morocco,home_team,3,1,2,-2,winner,Friendly,Casablanca,Morocco,2,2,1,0.173016313,Morocco,Morocco,Libya,Libya
6,03/04/1958,1958,8,4,Libya,Libya,away_team,3,1,2,-2,loser,Friendly,Casablanca,Morocco,-2,2,1,0.339381324,Morocco,Morocco,Libya,Libya
7,09/05/1958,1958,8,5,Tunisia,Tunisia,home_team,4,1,3,-3,winner,Friendly,Tunis,Tunisia,3,3,1,0.758661948,Tunisia,Tunisia,Libya,Libya
7,09/05/1958,1958,8,5,Libya,Libya,away_team,4,1,3,-3,loser,Friendly,Tunis,Tunisia,-3,3,1,0.97993179,Tunisia,Tunisia,Libya,Libya
8,29/05/1959,1959,9,5,Egypt,Egypt,home_team,2,1,1,-1,winner,African Cup of Nations,Cairo,United Arab Republic,1,1,1,0.748886338,Egypt,Egypt,Sudan,Sudan
8,29/05/1959,1959,9,5,Sudan,Sudan,away_team,2,1,1,-1,loser,African Cup of Nations,Cairo,United Arab Republic,-1,1,1,0.542249327,Egypt,Egypt,Sudan,Sudan
9,05/06/1960,1960,0,6,Tunisia,Tunisia,home_team,2,1,1,-1,winner,Friendly,Tunis,Tunisia,1,1,1,0.078062365,Tunisia,Tunisia,Iraq,Iraq
9,05/06/1960,1960,0,6,Iraq,Iraq,away_team,2,1,1,-1,loser,Friendly,Tunis,Tunisia,-1,1,1,0.475085667,Tunisia,Tunisia,Iraq,Iraq
10,30/10/1960,1960,0,10,Morocco,Morocco,home_team,2,1,1,-1,winner,FIFA World Cup qualification,Casablanca,Morocco,1,1,1,0.596046259,Morocco,Morocco,Tunisia,Tunisia
10,30/10/1960,1960,0,10,Tunisia,Tunisia,away_team,2,1,1,-1,loser,FIFA World Cup qualification,Casablanca,Morocco,-1,1,1,0.260560315,Morocco,Morocco,Tunisia,Tunisia
11,13/11/1960,1960,0,11,Tunisia,Tunisia,home_team,2,1,1,-1,winner,FIFA World Cup qualification,Tunis,Tunisia,1,1,1,0.277777043,Tunisia,Tunisia,Morocco,Morocco
11,13/11/1960,1960,0,11,Morocco,Morocco,away_team,2,1,1,-1,loser,FIFA World Cup qualification,Tunis,Tunisia,-1,1,1,0.789354838,Tunisia,Tunisia,Morocco,Morocco
12,23/12/1960,1960,0,12,Iraq,Iraq,home_team,3,2,1,-1,winner,Friendly,Baghdad,Iraq,1,1,1,0.535219193,Iraq,Iraq,Tunisia,Tunisia
12,23/12/1960,1960,0,12,Tunisia,Tunisia,away_team,3,2,1,-1,loser,Friendly,Baghdad,Iraq,-1,1,1,0.080267883,Iraq,Iraq,Tunisia,Tunisia
13,22/02/1961,1961,1,2,Morocco,Morocco,home_team,1,1,0,0,draw,FIFA World Cup qualification,Palermo,Italy,0,0,2,0.713591454,Morocco,Morocco,Tunisia,Tunisia
