serial,team_serial,player_serial,team,team_,player,birth_weekday,birth_monthday,birth_month,birth_year, age ,club,height,foot,international_matches,goals,debut,market_value_euro,market_value ,value,position,is_foreigner,team_country,squad_size,average_age,foreigners,confederation,FIFA_world_ranking,total_value_euro,total_value, team_value 
1,1,1,Algeria,Algeria,Alexandre Oukidja,Monday,19,7,1988,33,FC Metz,184,right,5,,"Mar 26, 2019",€2.50m, $2.8m ,2500000,Goalkeeper,1,France,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
2,1,2,Algeria,Algeria,Abderrahmane Medjadel,Sunday,1,7,1998,23,Paradou AC,190,-,,,-,€275Th.," $311,000 ",275000,Goalkeeper,0,-,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
3,1,3,Algeria,Algeria,Raïs M'Bolhi,Tuesday,25,4,1986,35,Al-Ettifaq,190,right,82,,"May 27, 2010",€75Th. ," $85,000 ",75000,Goalkeeper,1,Saudi Arabia,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
4,1,4,Algeria,Algeria,Aïssa Mandi,Saturday,22,10,1991,30,Villarreal CF,184,right,66,3,"Mar 5, 2014",€8.00m , $9m ,8000000,Centre-Back,1,Spain,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
5,1,5,Algeria,Algeria,Ahmed Touba,Friday,13,3,1998,23,RKC Waalwijk,190,left,2,,"Jun 3, 2021",€1.00m, $1.1m ,1000000,Centre-Back,1,Netherlands,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
6,1,6,Algeria,Algeria,Abdelkader Bedrane,Monday,2,4,1992,29,Esperance Tunis,185,right,5,,"Dec 27, 2018",€900Th. , $1m ,900000,Centre-Back,1,Tunisia,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
7,1,7,Algeria,Algeria,Djamel Eddine Benlamri,Monday,25,12,1989,31,Qatar SC,190,right,23,,"Nov 18, 2018",€850Th. ," $961,000 ",850000,Centre-Back,1,Qatar,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
8,1,8,Algeria,Algeria,Abdel Medioub,Tuesday,28,8,1997,24,FC Girondins Bordeaux,197,right,1,,"Oct 9, 2020",€350Th.," $396,000 ",350000,Centre-Back,1,France,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
9,1,9,Algeria,Algeria,Ramy Bensebaini,Friday,16,4,1995,26,Borussia Mönchengladbach,186,left,40,5,"Jan 7, 2017",€22.00m , $24.9m ,22000000,Left-Back,1,Germany,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
10,1,10,Algeria,Algeria,Youcef Atal,Monday,17,5,1996,25,OGC Nice,176,both,22,1,"Jun 6, 2017",€15.00m , $17m ,15000000,Right-Back,1,France,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
11,1,11,Algeria,Algeria,Mehdi Zeffane,Wednesday,19,5,1992,29,Krylya Sovetov Samara,176,right,19,,"Nov 19, 2014",€1.00m, $1.1m ,1000000,Right-Back,1,Russia,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
12,1,12,Algeria,Algeria,Houcine Benayada,Friday,8,8,1992,29,Etoile Sportive du Sahel,180,right,2,,"Mar 25, 2021",€750Th. ," $848,000 ",750000,Right-Back,1,Tunisia,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
13,1,13,Algeria,Algeria,Ismaël Bennacer,Saturday,1,12,1997,23,AC Milan,175,left,29,2,"Sep 4, 2016",€38.00m, $42.9m ,38000000,Defensive Midfield,1,Italy,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
14,1,14,Algeria,Algeria,Adem Zorgane,Sunday,6,1,2000,21,RSC Charleroi,184,both,3,,"Sep 2, 2021",€3.30m, $3.7m ,3300000,Central Midfield,1,Germany,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
15,1,15,Algeria,Algeria,Haris Belkebla,Saturday,28,1,1994,27,Stade Brestois 29,177,right,9,,"Nov 14, 2019",€2.50m , $2.8m ,2500000,Central Midfield,1,France,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
16,1,16,Algeria,Algeria,Ramiz Zerrouki,Friday,26,5,1998,23,Twente Enschede FC,183,right,7,1,"Mar 25, 2021",€800Th.," $904,000 ",800000,Central Midfield,1,Netherlands,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
17,1,17,Algeria,Algeria,Mohamed Fares,Sunday,15,2,1996,25,Genoa CFC,183,left,12,,"Oct 7, 2017",€5.50m, $6.2m ,5500000,Left Midfield,1,Italy,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
18,1,18,Algeria,Algeria,Ilan Kebbal,Thursday,10,7,1998,23,Stade Reims,169,left,,,-,€3.50m, $4m ,3500000,Attacking Midfield,1,France,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
19,1,19,Algeria,Algeria,Saïd Benrahma,Sunday,10,8,1995,26,West Ham United,172,right,12,,"Oct 13, 2015",€25.00m , $28.3m ,25000000,Left Winger,1,England,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
20,1,20,Algeria,Algeria,Youcef Belaïli,Saturday,14,3,1992,29,Qatar SC,182,right,26,5,"Mar 26, 2015",€1.80m, $2m ,1800000,Left Winger,1,Qatar,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
21,1,21,Algeria,Algeria,Riyad Mahrez,Monday,21,2,1991,30,Manchester City,179,left,68,25,"May 31, 2014",€42.00m, $47.5m ,42000000,Right Winger,1,England,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
22,1,22,Algeria,Algeria,Adam Ounas,Tuesday,11,11,1996,24,SSC Napoli,172,left,14,4,"Sep 5, 2017",€8.00m , $9m ,8000000,Right Winger,1,Italy,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
23,1,23,Algeria,Algeria,Hicham Boudaoui,Friday,23,9,1999,22,OGC Nice,175,right,10,,"Dec 27, 2018",€5.00m , $5.7m ,5000000,Right Winger,1,France,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
24,1,24,Algeria,Algeria,Sofiane Feghouli,Tuesday,26,12,1989,31,Galatasaray A.S.,177,right,71,18,"Feb 29, 2012",€2.10m, $2.4m ,2100000,Right Winger,1,Tunisia,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
